id	filename	md5	size	state
d82635df-31d1-4110-8acb-aadd88e9ba74	TCGA-AA-3976-01Z-00-DX1.d2519da8-bc55-4dde-9839-9fa51ecff1b3.svs	1b6ffeb1ae58e642bf74cfecc163b082	171826916	released
ef52da91-023b-45be-ac86-22f4e051ff2c	TCGA-AA-A01D-01Z-00-DX1.A6FE424C-9BF8-4605-8A78-7BD7B83BEC61.svs	4918f190719586db6f82714ac7dd4e79	831954692	released
a661753c-59b0-4e68-87c9-ac2dd5d17051	TCGA-QG-A5Z1-01Z-00-DX1.F3157C57-0F35-42D3-9CA5-C72D93F1BF89.svs	df070b04ee1b82d0808919b9011b93e1	877640615	released
3f7b713c-e8b9-480d-a006-69ff3df858ff	TCGA-QG-A5Z1-01Z-00-DX2.2CE72B6A-557F-43BD-BA4C-B252E14E46EF.svs	104e4c21db218eaaff15c64b586eb023	1512832207	released
95f9ca4b-edc6-43cd-8d05-ff92a4ddca49	TCGA-AZ-4684-01Z-00-DX1.1c29deb2-b0e2-4788-a3e8-83ecab7f9208.svs	588dfccaef03769a74a2b49ab2e2700f	829664311	released
683ec752-46a5-40cd-9bda-b6b1c771e955	TCGA-CM-4750-01Z-00-DX1.250ea50f-3aae-4fcd-9ba9-25cf2115525f.svs	2f72575f40bd4c3313e0fb73716cdb20	1255908505	released
b8085eff-8407-4fd5-b2ba-70fa649aa07d	TCGA-AA-3488-01Z-00-DX1.EDF60198-F7AB-45BB-9A1B-C2E2FA141989.svs	7419e53add8dd7b359e82cb52fc98ec8	8169406	released
a42f83a9-22ec-4666-8147-a72df2cdb033	TCGA-AZ-4682-01Z-00-DX1.abca2345-ed4a-4f64-af1d-0e60f81b1288.svs	d65ea49d36c63a20543a0a524a5c2fe2	562501073	released
c5982676-05d3-4024-98dd-6691ec823ec2	TCGA-AH-6897-01Z-00-DX1.4c3605c1-7e05-40c2-bea6-1a9c642f856e.svs	26ace26854bc1c42879d2d0926def0a0	146936043	released
7256d544-a139-4ce6-a025-759327de568f	TCGA-AG-3580-01Z-00-DX1.040f02e8-92c6-46d5-94e1-054dcd44d057.svs	30fe51fc438d04c04bd9c85ce662aae9	538058250	released
e7887760-2db7-438b-9ed5-c13b8e2a27d2	TCGA-DC-5337-01Z-00-DX1.5ef2af22-210a-4767-a12b-92af0376c505.svs	dc612df5817eb7938c74c07b29c14bbd	293681535	released
ba1f7199-4232-43f1-a8c3-5bbbc61a3943	TCGA-AF-3913-01Z-00-DX1.52725653-b597-4f1f-ac1f-80333e74ea1a.svs	38ec4e22a76eae227866e5eae299cd39	146146357	released
7e5d07eb-dbc5-4b86-96e3-d4e8f880b68e	TCGA-AG-3605-01Z-00-DX1.27c26401-3e5b-484d-946d-0f508b979572.svs	d63c56bbb36606c81432067efd5f9a55	334658896	released
a8217567-1d91-4966-a9f8-b9d74488a4bd	TCGA-AG-3902-01Z-00-DX1.f08b9bcd-7cd8-4480-bed9-bf28f55172fd.svs	7ade7a25839726164626be0880fcc172	344380848	released
2f21d4ce-cc8c-4ccb-b91e-3780cce55249	TCGA-AF-2693-01Z-00-DX1.620a9998-65df-4024-b719-f2384b4e7d36.svs	e50fb9b8e5f481bb7231fad4c3dc2a22	147031181	released
36130f7e-c4bc-44e3-bc3b-44649955f546	TCGA-AF-3914-01Z-00-DX1.d7bb7792-df51-498b-9d16-fc26e219249f.svs	1ac290be5636039a092dbb9583b43ef7	474747919	released
15a3d699-1c64-4711-969b-dbffda0a5f9f	TCGA-AG-3592-01Z-00-DX1.61880D0C-B777-482B-9543-FCA685731B9B.svs	f25138d1ea2acc78ac88558eaa91eca2	10545368	released
70b45412-f9c0-4ee9-b1b1-14d51a67eaa3	TCGA-DC-6157-01Z-00-DX1.fe7acbc4-9ccc-48a6-baf1-c72f9c2e79aa.svs	e961486002952392063a209760cfc874	755062401	released
0ae1ce57-7580-48de-9f8b-2eff2173b538	TCGA-AH-6903-01Z-00-DX1.29f3feae-e757-4138-9f86-439fac247009.svs	58aa6a9e11438063b1341924a93e4c0f	107360663	released
b049a231-a06e-4d99-a53c-f2c6822171ae	TCGA-G5-6641-01Z-00-DX1.5d9d937f-0e87-4cdb-87f5-6b6338c2d195.svs	397918cd6c51497b26bb037d3e8ab7f7	438909149	released
54069ff1-89e9-4d9c-aaf7-d9aa011373be	TCGA-DC-6682-01Z-00-DX1.d5273947-536c-40d5-a1b4-2eb1dbc5d338.svs	3643f12b1c46146a552e7f439d6d5bdd	331066701	released
f51f1618-a90f-461e-9f55-b0a1f91c9350	TCGA-AG-3593-01Z-00-DX1.d3086414-77f4-483f-bac8-d7cb29a0689e.svs	dd7d4abc61938b6af0af7a31812f8583	720828756	released
0f526db0-c865-45a8-ba63-6cd558e61e63	TCGA-AG-3999-01Z-00-DX1.d963afa8-565a-4da8-ab5c-7c7cadf30b0f.svs	9731bd6469a3d8e90cdc39723d8d7ee5	427549078	released
5917f1a4-2a43-49e6-9a6e-33cd35fc1616	TCGA-AF-6672-01Z-00-DX1.a966d993-8a84-4175-b456-77816c3c4793.svs	39f90e9d19efd39404f311835b7a5259	446510661	released
db3dcba4-1f71-48ea-8dc1-c5faae6c28e3	TCGA-AG-3609-01Z-00-DX1.6a698ad2-cc70-4c9d-b5d8-57c2cac3d86b.svs	afeef1ab98f04a01a82c9d0d6e0ea460	344994064	released
3de3d16d-fb2b-4b37-859e-8fd916f9d4f1	TCGA-DY-A1DC-01Z-00-DX1.2DF22B63-011B-4530-ADE4-8245779EDB6F.svs	5121824b8536de58af5d8e25f764f1b3	1361044163	released
e8526fde-904f-46aa-92c1-2ea311199407	TCGA-AG-3578-01Z-00-DX1.fa579e93-e28c-4e38-8757-bd8fa1c00285.svs	b7b65eea4c5ad5be33de38b92f264ce7	418088572	released
97db85c2-2ba6-4a06-ad17-d8a20c60661e	TCGA-AF-5654-01Z-00-DX1.2ec3177c-f20b-4c32-9e05-29283bbac185.svs	c9a1cb889f6b2d3e0b1b203a1415116c	153197807	released
2d58d2f2-fdfb-4c94-b996-79a0f270f646	TCGA-AF-3914-01Z-00-DX2.493568CE-EAC1-400D-87E1-01A22F689D21.svs	e41e2b287516fdbe40675bd6889b51d4	280321266	released
