id	filename	md5	size	state
73f1b5c9-29ef-409f-bae5-c8088480ea47	TCGA-UF-A7JF-01Z-00-DX1.A0DE60C2-9C0A-42C8-84F6-F9D2EA675EEA.svs	fdb0f85cf132758a8911820ddae4a2f4	1583884055	released
7824cc74-3353-48e8-81fb-255e56b6a446	TCGA-QK-A8ZB-01Z-00-DX1.EBCCEFBD-C1AB-4513-979D-9D99468C4BAA.svs	f8e7eeffbbdac361862f35f538a06e7d	1732526738	released
9f6acd49-f6a2-47c4-889d-20d8ef6943f6	TCGA-CV-A6K1-01Z-00-DX1.EDC1AE36-E4C0-4C97-A09D-5046B1C841DA.svs	b01a6ba881fbeb6f64d45359afbd303e	1646989653	released
840dc806-0ecb-44c0-88d6-cd81ceafe67d	TCGA-CN-6988-01Z-00-DX1.1fc4c572-3495-4f5a-9f1a-60c04096d188.svs	1c21ab0fdf8a0185ada25c81d341e421	209263839	released
ce1ad42e-f099-4790-811f-ef2faa8c6d83	TCGA-DQ-7589-01Z-00-DX1.B0BF631F-6757-4ED6-A95F-E520BA6AFF98.svs	c7eb0b0f55787c2ddd563938349f8756	1009844997	released
678da7e5-a232-4b7c-a713-acf26b397fd7	TCGA-CV-7242-01Z-00-DX1.DE2FE048-F989-48F8-A5CA-056DD917FA18.svs	2b8339301ee9801f05e3c14be2204b11	1144350809	released
faaf67b9-0e8c-412d-889c-aa32f6a66b7c	TCGA-CV-5444-01Z-00-DX1.9ED149D2-23B0-48B6-9965-322FFB56DF80.svs	48b118510b6fccee0ad33f12442306bb	1625879757	released
9454f35c-785d-4ffb-9c00-efaf2365f32d	TCGA-CN-6992-01Z-00-DX1.75827758-ac91-4532-8271-8b1a3d42843b.svs	68ea23d564c230ba69ab597562565e6b	252749831	released
f970abcc-56aa-4224-a14c-3d1e87d7c5e7	TCGA-CN-5360-01Z-00-DX1.d3657b07-9ea0-41fc-b858-c9a1497340c8.svs	c492d0192646146bd5751b41442c88d6	351706599	released
62075d35-c1d9-4e5e-99ba-e1ce8f224ba1	TCGA-HD-7229-01Z-00-DX1.9AF59F80-D653-431E-A134-840A961D96C1.svs	43eb4ea6f0d9771db85488f8b8d18851	1313761844	released
a23fa5db-fadf-472e-abf2-7f388df8825d	TCGA-CV-7247-01Z-00-DX1.C4EA48AC-B844-4A4E-B2E4-31902F99FB7A.svs	03d14d8dd83a694bb1a3f6c6667494df	896511901	released
75a3ff88-4d9f-4a71-a22c-80699629c80e	TCGA-KU-A66S-01Z-00-DX1.195F55BC-4F8F-4039-8E12-4B18C53A8B04.svs	782c08197c99d14302068d0646eb8021	1851090387	released
4f06389b-ceb1-4b15-a9a6-a5e60b50a435	TCGA-D6-8568-01Z-00-DX2.061A6C5A-FA4D-4DD3-A5A0-2C6ED160F869.svs	0a7965b986b12ddc2cd73c6fe80e81ce	1128713071	released
10650e5e-964f-46d7-8f1b-2782212d7162	TCGA-D6-8568-01Z-00-DX1.70A20D5E-6628-4F2E-B808-D20BEB7DB3BF.svs	88ca71cf255e2da8c9b2f439f6b97d67	759093385	released
fd795ebd-358c-48e5-a093-8cd18af520f9	TCGA-CN-A641-01Z-00-DX1.8F04DCC2-925F-4C7D-AA85-6786ABD67AB1.svs	e4cd8e54813e46abe81cb3272ff72834	633269501	released
b267c7b8-b465-4b67-a143-7c51f12506cd	TCGA-CV-7440-01Z-00-DX1.ABC0027C-EBB2-4BDF-9AE7-116D4F38DD70.svs	3fc332f1b76fc9715f296326f669e778	837620189	released
cdb14e9d-3a3d-4206-bd96-507377102358	TCGA-QK-AA3J-01Z-00-DX1.ABCA519E-CF09-4FB3-812F-A977C4F0BA91.svs	ea2575ac1adecc785fe0c12e7c308bce	360717322	released
16f0cfc9-eb25-4cc1-b342-991822e99450	TCGA-UF-A7JJ-01Z-00-DX1.C540BC43-FCAB-45DC-86BD-081CAE47A018.svs	5add753b9d54aa3c728b93b8219c1335	1934849433	released
2c755981-59ab-455e-9876-a0762f22ce91	TCGA-F7-A50I-01Z-00-DX1.D777F9AF-D8B8-4EFF-9961-C456EBEB967D.svs	b138afebdc1295ca0b4fe9a3a0d258de	276404367	released
