id	filename	md5	size	state
aeb49c5b-9913-48b6-ad9b-9d66ddd5a4e1	TCGA-AG-3890-01Z-00-DX1.662d0fee-4d6e-43c9-b7f4-767e36b22ae6.svs	9711437cb1fab16a834e78df80c75017	374851162	released
64c86a22-fe18-44d5-9b0c-c3d150fcf850	TCGA-DC-6158-01Z-00-DX1.06cf3c33-83e1-46fd-8717-6c4cddb659d9.svs	fdc47eb0f142b98e87affbf575865bc2	526126549	released
a4270cea-28d5-4c47-ad14-1f537354692f	TCGA-AG-A015-01Z-00-DX1.F3BAA1C8-4378-4228-A9EE-B69CA9973730.svs	c0f3b1fe0eef031a9f5e9616299a20d4	871277972	released
e29aa6d7-5bc9-4276-ba77-d9a964e9c374	TCGA-AG-A036-01Z-00-DX1.8D306B77-755A-4FDC-BE9C-C407716FB142.svs	702ef5814a38dfb7c58e8af85b85c416	419208508	released
efe6a14d-2f1a-4483-8d9f-2d9796108882	TCGA-EI-6506-01Z-00-DX1.5a936d3f-6209-4931-85b0-35431302fd71.svs	9af254f56385f0ae29996a0348bf4a1e	567125039	released
b3a449cf-016b-4155-bb94-35b01605513e	TCGA-F5-6571-01Z-00-DX1.2de5bae1-22da-460a-bb94-c4f74d92300e.svs	314b5fb3a330df71a138e0cfe2251541	793291651	released
458b0d34-ac90-4061-a810-e8f5a6d70423	TCGA-EI-6512-01Z-00-DX1.edf24f1e-381b-4c14-aabc-9aa30e84c5d7.svs	bdc6fe6e6b1ee830851170073efa977e	969119737	released
1f07b827-255a-4d32-9eea-f2daff7bd937	TCGA-AH-6549-01Z-00-DX1.38ea40f7-4ebf-49cc-801b-4dcf3c50cc5e.svs	41d29bbf47870aebd96cac8640858733	179632841	released
df710d65-9312-4be4-a0c4-2a7cd383cd36	TCGA-EI-6514-01Z-00-DX1.d31b7dc9-3024-419e-a60d-53385e59369f.svs	ca142158e24d3977d383c183c82e649f	670254635	released
be3892f7-ea03-42d6-b6e5-eecf7555e698	TCGA-AG-A00H-01Z-00-DX1.489EB8DD-4956-4AE4-97E1-32AB58CD6972.svs	89cec42a1c548d34fbfac10515af8670	945403110	released
