id	filename	md5	size	state
649c4e38-9fb9-4334-95b2-95498f0b8204	TCGA-G7-A8LC-01Z-00-DX1.68B9AD1D-B70E-452F-AB01-74D64362A35D.svs	1fd47bb46f32683783c45d7a427c652a	2143902319	released
830547de-6a62-4ecb-9853-84210c3c7b21	TCGA-J7-8537-01Z-00-DX2.94202120-69A5-4223-9F53-5504FC9C6232.svs	e48df23581077261e1c4a11d2af00df2	666750857	released
0c5ca0f3-a972-4830-8169-7191878861f4	TCGA-J7-8537-01Z-00-DX3.E536E7F6-FFDC-46AF-9023-E5ACB3865C12.svs	49765e1ca2e4e342a1886ed0a6afaf77	607532041	released
7785f109-c8a0-402a-9014-23bbdfb5bd41	TCGA-Y8-A897-01Z-00-DX1.2FE4B0F6-6BC3-4238-A7C5-B1B74884193C.svs	f8bf4e5b3bf5273b5d3183ab7ce341ce	1288706641	released
d3b0e422-ac29-492d-883a-63c74ab6e3e1	TCGA-BQ-5894-01Z-00-DX1.8fa5886a-0e66-4fe1-9c96-14b9d8d13db7.svs	caee6ffc6165115c256563dbe3396723	1216859137	released
d6e662e4-1092-454a-bc96-656fe1887354	TCGA-UZ-A9PP-01Z-00-DX1.2754A8FC-28CB-40B9-8617-3FAB4C83F4C8.svs	3fc93c4bdbae1d6d1e0f1cab0fe0e139	720060173	released
b7e0e431-10a0-4630-82dc-3c1968e24b4c	TCGA-GL-A59T-01Z-00-DX1.93128005-E121-4B81-9E9E-B05EAB93230E.svs	9fe095e99d4391f02268f5b50603148b	640109091	released
2a296eae-edd6-409d-800f-701ea7dc6d8c	TCGA-B9-4617-01Z-00-DX1.d890e850-cc29-49f8-b854-cbe9a9a73c95.svs	4fcab8bf3000909d0682c674f3a6cf61	120966981	released
e55f0570-5c9e-4676-8b65-380ae02a8d63	TCGA-A4-7997-01Z-00-DX1.aa4e2dd8-fac9-43ae-9634-4a3612d8c154.svs	e3c74f284c428d62d0a6eb1d851e50c0	205231955	released
3b8135c7-84c0-4afd-b6dc-2cc8607a71e3	TCGA-PJ-A5Z9-01Z-00-DX1.2461740D-4E9C-422A-9138-F4C9937D36E1.svs	9c886d732b538e297228d6e43ec45404	1508109733	released
c0268e05-68cf-4d4a-b6fc-99431ddb4f5f	TCGA-B9-5156-01Z-00-DX1.200621df-b59f-4c69-957c-65aebfe855a8.svs	bd4857505847baa12c28a1bc9bec1b9b	407132095	released
8bad070b-5d83-4148-b773-c6f579c8bb3f	TCGA-BQ-5887-01Z-00-DX1.53c6100e-4ce4-4863-a987-ee0fe30f2e01.svs	78b34512e45d44b91bf18666247db91e	1298229489	released
c4987067-0523-44e7-aa43-7304a441544d	TCGA-HE-7129-01Z-00-DX1.9E4D3873-8E71-4602-8698-D7CBE75E7FA6.svs	86369dc5872ab8f308a83ffe598e8315	482815180	released
1d2ea46a-f842-4ca2-bef5-782ad27b5d6a	TCGA-2Z-A9JN-01Z-00-DX1.714E8577-5BAE-4D99-92DF-1B75500D7AED.svs	12502ab516395c688bd71bb9123bd797	684855850	released
64b86f21-8a61-47c2-8a57-42d12509190c	TCGA-Y8-A898-01Z-00-DX1.DB759C9A-0A6C-4F57-8AAB-D1B1DFDE44EC.svs	00bcd6bd33ed58c375aff5e42300f821	1346832069	released
8355e666-8ad4-4f46-bfb7-19020891a30c	TCGA-Y8-A8S1-01Z-00-DX1.070EF07D-6A9B-4E32-9851-3B08A628D879.svs	6308195b5f8cda7d2ca878a8df77e0d3	758348331	released
e7b97c11-6cd8-4aad-b4a2-9a6e6e38903d	TCGA-B1-A47M-01Z-00-DX1.B049A5A8-406C-4208-BB5E-2CA42D063D16.svs	1836109f66f356e72222649910b3c6e1	1689440257	released
407bf369-7eac-4b9b-b6d8-fa84617e2951	TCGA-P4-AAVO-01Z-00-DX1.F4174F1A-77C2-4C1E-B660-F17EF541236A.svs	3999101afa2bc31e9d77e9d59909012e	1294515221	released
649414d6-e04e-41ac-9eab-9e090a9b0168	TCGA-5P-A9JW-01Z-00-DX1.36EC2D9D-7CC2-42BF-A482-AE28F9A5DAC7.svs	17358995a5898d0defff88d25c5af67a	1702434632	released
9ade332a-d3dd-47fe-ab39-b3160e0f3a09	TCGA-B3-A6W5-01Z-00-DX1.96E31A69-6D56-4520-8AF3-C083FB49A7DB.svs	4dfb4d6a8fd512a20668f301d552789f	446500179	released
31b8ce4c-433d-4d14-bbf5-576ac2de9c93	TCGA-B3-A6W5-01Z-00-DX2.B7C13C84-9D45-4285-8D7F-8FE148E9F42F.svs	0d4effe7b557dee3cc725004c55fd8b7	232301153	released
c71f96cb-04bf-49eb-a17a-cb4e8870b2cb	TCGA-A4-7584-01Z-00-DX1.ffa7e13e-0ed8-4913-a0f0-51b36f4d858c.svs	487ca9161e265fbbd52166c164c50cda	374094507	released
d295eecb-470f-40ca-8b32-627d472da92a	TCGA-BQ-7046-01Z-00-DX1.3d473ea1-af02-4915-b971-2e53fca4b620.svs	4ea6caad66dd78cbeac50bd8cddf9ba2	550021420	released
2905af87-62c7-4c32-9ca1-d6d035db6a23	TCGA-UZ-A9Q1-01Z-00-DX1.81177E0C-A9E4-4CAC-8E8F-354218753202.svs	4b6b74ad0906438db2b7f04c868530c5	1649782423	released
b246dd34-3299-4de5-a0c4-b114cb5284ce	TCGA-A4-7585-01Z-00-DX1.47f27533-7c8d-4df3-bd7c-586d5fbdf1fc.svs	3ca6480664dc11985adaf14db3ee7dfc	426608053	released
d2a43ecb-c346-4699-97d5-05e39ac8a1d9	TCGA-IA-A40X-01Z-00-DX1.AE832D8E-57E9-466C-B9BA-D71851219986.svs	2e1c12949946585be805feb89fcbfb51	1127073782	released
b0dc5eb5-1e89-4eda-bcb5-e06318915b3f	TCGA-A4-8312-01Z-00-DX1.B59C24F4-205D-40C1-8DB3-4D78AE8D5826.svs	b5e27132c3ca0de8f8a4b8ab6d77eeac	493296482	released
a38d538d-bb8c-4ea4-9da6-72365fa01191	TCGA-DW-7840-01Z-00-DX1.797DFE79-C506-4F49-812F-B19F3C440D7A.svs	3d8f313b402bfe7a00b66e82c03705bd	778639077	released
c14f04ea-b426-4837-a7d9-97b21d7b5308	TCGA-5P-A9KA-01Z-00-DX1.6F4914E0-AB5D-4D5F-8BF6-FB862AA63A87.svs	5b6bc788cc88102a9270e990f1c00081	3733062934	released
4f34c916-21ea-4b14-b7d7-b6c86d8b1078	TCGA-P4-A5ED-01Z-00-DX1.A7EA95E0-6B91-40AD-AB13-10A21EC5EF38.svs	02f1b6f3553ee08a8c7ae3bb2ff847cc	1253078701	released
b53aa2fd-e729-4097-ba39-0deeb76b91cc	TCGA-DW-7837-01Z-00-DX1.94DDB53B-5B3C-4CF5-B421-32661EE2F8CE.svs	703200b63604ccaec1b09065f6780faa	599431555	released
70a38f51-4771-4472-a0f0-567e66501b35	TCGA-G7-6795-01Z-00-DX1.3467ceec-438d-49a2-8396-018ff67a1060.svs	63828eb5c06c3a153ef4e006af13d595	744986715	released
250aa7c1-1d9d-4674-bba5-285c03ecdcce	TCGA-BQ-7044-01Z-00-DX1.82831b80-af50-4d10-9f92-821079af66fa.svs	856c2fdfabd0d0e821cf8d9040f69fc6	1097857778	released
64b48295-0938-4ca6-802f-675ae3d9fced	TCGA-A4-A6HP-01Z-00-DX1.E323CECA-C081-4A67-98E3-B0BD28800D7A.svs	9e26ecaaaec52ff80916098a1a4b7bb0	100655878	released
1b260977-60e2-4a39-9f33-c82fc82899d0	TCGA-B9-A8YH-01Z-00-DX1.DCA30E64-FDE3-49EE-99FB-00EEEDC0420B.svs	99f1dd121c0969b9a24d9c070326098b	1785135798	released
35bc77a6-af3f-44e4-abb9-6ed1932bd3e4	TCGA-A4-8516-01Z-00-DX1.BC50439D-E5E5-45A1-8067-6B8FB0C1E096.svs	cf4476b326c41a8e191488f47a5e2e49	144697014	released
44c5354a-2c73-4c33-bec5-1ae7f9a677fc	TCGA-2Z-A9JM-01Z-00-DX1.57F0B96B-E171-418E-8B89-AF434B4E0DB9.svs	69826cc34725156d95b50a93b18607cc	867909502	released
7660bda5-9f06-445a-a4d4-f288d7b88c21	TCGA-BQ-5876-01Z-00-DX1.290a8bb2-ef37-4944-aff9-cbc2509de32a.svs	59464f8b7c2787cfaf7c2ad06cae8cf4	768079687	released
873d7958-f2ce-4add-8aec-8a44c65353f5	TCGA-UZ-A9PN-01Z-00-DX1.D3D3BDE3-E1CF-4F31-8130-E7F302F77FB9.svs	86af2bbe92286a22904b0d13b97d8ae7	2077414473	released
0596623c-c2c5-4de5-b358-d5393e79120e	TCGA-B3-4103-01Z-00-DX1.76bba2e9-0a6d-460b-8ae8-c38a1109456e.svs	15099b69af9c36d25fb244d96d922356	418446125	released
687e9a54-c3de-421d-a74c-84822dede33e	TCGA-BQ-7059-01Z-00-DX1.14b4beda-8f00-44b8-9d99-1fa144431d92.svs	4937350e5383286dbbd3070dc5ff93f0	1459304412	released
8715ee34-8105-41ce-8029-06f9d8c098e4	TCGA-5P-A9K0-01Z-00-DX1.8A9B8934-BB3D-4343-A0A4-D6F2FF82D745.svs	d552cdf091cda0afd6ae2fef59a06df0	1363058178	released
66e60171-c08b-40a5-898c-eeaff33df561	TCGA-IA-A40Y-01Z-00-DX1.E8D91A02-A0BD-4974-8CF9-68DC1AF506EF.svs	1928c6b4297ec147754c000473007efd	968898188	released
5c29de1e-d995-4e32-9326-3864b1ba7b8c	TCGA-PJ-A5Z8-01Z-00-DX1.84E38F4E-BCF7-4383-AFEC-67C2C15DD3CF.svs	4c6f297c895566bdfdaa3264ba158e92	1266225547	released
32219146-fe3b-4754-8144-1d21d8310282	TCGA-UZ-A9PR-01Z-00-DX1.B0118472-5A2A-43FB-9345-D28362745C78.svs	6b063a250389fbb869a0d899618a291d	1857969821	released
19212f5c-8236-457c-8ab9-b28f92305751	TCGA-MH-A55W-01Z-00-DX1.EAA75270-87B3-4AE4-8CAB-911F19AE264E.svs	b6fd3f6d092a3e5672012d48b4539257	2067187575	released
b1b3df18-1fcc-40a1-8610-143f06c9748b	TCGA-AL-3468-01Z-00-DX1.F86A4811-D60C-4845-A7A5-B7C7BE202202.svs	04358a51344d8ab539f96a861f5b3ee1	504302113	released
